timestamp,bvp
1685590249.9597785,27
1685590250.010329,26
1685590250.0606387,34
1685590250.109732,55
1685590250.1603925,72
1685590250.210671,74
1685590250.2603207,64
1685590250.3118277,53
1685590250.3624923,49
1685590250.412353,48
1685590250.4625132,47
1685590250.5116923,42
1685590250.5624192,37
1685590250.6101959,33
1685590250.661791,30
1685590250.7116354,29
1685590250.7618825,28
1685590250.8127484,27
1685590250.861896,34
1685590250.9116037,56
1685590250.9618893,76
1685590251.0125844,76
1685590251.0767872,66
1685590251.1274238,52
1685590251.1769292,50
1685590251.227522,49
1685590251.2776074,44
1685590251.326638,40
1685590251.376751,35
1685590251.4266708,31
1685590251.4774892,30
1685590251.5272973,29
1685590251.5768058,27
1685590251.6116319,27
1685590251.6612947,35
1685590251.7114763,58
1685590251.7606697,75
1685590251.8112547,72
1685590251.862447,61
1685590251.9114637,51
1685590251.960749,47
1685590252.0113666,46
1685590252.060608,43
1685590252.111487,38
1685590252.1605983,33
1685590252.211392,29
1685590252.2607257,27
1685590252.3113313,26
1685590252.3613057,25
1685590252.413446,24
1685590252.462097,24
1685590252.5152287,40
1685590252.565148,68
1685590252.610279,73
1685590252.6474473,68
1685590252.6972482,57
1685590252.7474291,48
1685590252.7962236,45
1685590252.8466704,44
1685590252.8967996,41
1685590252.9474084,37
1685590252.9975035,32
1685590253.0467176,27
1685590253.0967355,25
1685590253.1469371,24
1685590253.1974952,23
1685590253.2465854,22
1685590253.2971818,21
1685590253.347157,31
1685590253.3974545,55
1685590253.4466066,71
1685590253.497377,67
1685590253.5471048,57
1685590253.5967085,47
1685590253.6803758,43
1685590253.730161,41
1685590253.7797518,37
1685590253.8305292,32
1685590253.8802376,28
1685590253.929747,25
1685590253.980393,24
1685590254.0301807,23
1685590254.0805435,23
1685590254.1297436,21
1685590254.179739,22
1685590254.2303588,39
1685590254.2797368,62
1685590254.3300216,70
1685590254.3805056,63
1685590254.4300873,52
1685590254.4804618,44
1685590254.5303516,42
1685590254.5795681,41
1685590254.613673,38
1685590254.6643987,34
1685590254.7140467,29
1685590254.7642055,26
1685590254.8144,24
1685590254.864379,23
1685590254.9136376,23
1685590254.9642327,22
1685590255.0139716,20
1685590255.0782192,26
1685590255.128384,51
1685590255.1782901,67
1685590255.2280889,64
1685590255.278343,53
1685590255.3280232,43
1685590255.378335,40
1685590255.428108,40
1685590255.4779875,38
1685590255.5280845,33
1685590255.578243,28
1685590255.6124225,24
1685590255.6610188,22
1685590255.7105505,21
1685590255.7611651,20
1685590255.8113532,19
1685590255.8602357,18
1685590255.9114025,28
1685590255.9614735,49
1685590256.0111983,61
1685590256.061305,57
1685590256.1109946,47
1685590256.1613197,40
1685590256.2114024,37
1685590256.2611303,37
1685590256.3112264,35
1685590256.3609698,30
1685590256.4112842,25
1685590256.4610937,20
1685590256.511088,18
1685590256.5611804,16
1685590256.6109533,15
1685590256.6472116,15
1685590256.6964917,13
1685590256.7470806,12
1685590256.7964044,24
1685590256.8465366,46
1685590256.8966572,57
1685590256.9469697,55
1685590256.997152,48
1685590257.0468743,41
1685590257.0969493,38
1685590257.1469462,37
1685590257.1970034,34
1685590257.247046,29
1685590257.297205,24
1685590257.3473024,21
1685590257.3964787,18
1685590257.4472272,17
1685590257.4969022,16
1685590257.5464568,15
1685590257.5972068,13
1685590257.6812131,25
1685590257.730905,44
1685590257.780551,52
1685590257.8306801,48
1685590257.8804958,42
1685590257.9310303,38
1685590257.9811635,36
1685590258.03092,36
1685590258.0811234,34
1685590258.1307764,30
1685590258.1805863,26
1685590258.231283,24
1685590258.2811892,22
1685590258.3309443,21
1685590258.3812466,20
1685590258.4314117,20
1685590258.4812207,18
1685590258.5313942,22
1685590258.5811658,38
1685590258.6134276,52
1685590258.6640484,53
1685590258.7141805,48
1685590258.7639968,43
1685590258.8143082,39
1685590258.8636081,39
1685590258.9141889,38
1685590258.9640906,36
1685590259.0138035,32
1685590259.0639844,29
1685590259.114091,28
1685590259.1641695,26
1685590259.2135978,25
1685590259.2638578,24
1685590259.3139453,23
1685590259.3862185,22
1685590259.4360216,37
1685590259.4862309,52
1685590259.5358975,53
1685590259.5855062,48
1685590259.674408,40
1685590259.7250001,40
1685590259.7747219,40
1685590259.8248787,39
1685590259.8751378,36
1685590259.9249024,32
1685590259.9744227,29
1685590260.0249882,27
1685590260.0746124,27
1685590260.1246789,26
1685590260.174774,25
1685590260.2248704,29
1685590260.2746532,42
1685590260.3254378,54
1685590260.3800864,53
1685590260.4277394,59
1685590260.477843,47
1685590260.5278804,45
1685590260.577975,47
1685590260.6110995,46
1685590260.6608205,42
1685590260.7111042,37
1685590260.760721,31
1685590260.8104293,26
1685590260.8609924,24
1685590260.9107432,21
1685590260.9610534,19
1685590261.0111654,24
1685590261.060897,49
1685590261.1108503,74
1685590261.1607604,74
1685590261.2104192,62
1685590261.260624,51
1685590261.310719,46
1685590261.3608766,49
1685590261.4110417,47
1685590261.4608433,42
1685590261.5114179,35
1685590261.5610209,29
1685590261.6104524,24
1685590261.6606984,21
1685590261.7108746,20
1685590261.7610807,18
1685590261.8108666,17
1685590261.8608875,38
1685590261.9114308,74
1685590261.9608943,89
1685590262.011226,82
1685590262.0608454,70
1685590262.1109536,61
1685590262.1607916,59
1685590262.2110589,59
1685590262.2607522,53
1685590262.3113222,45
1685590262.360993,37
1685590262.4126434,31
1685590262.4628181,26
1685590262.5127988,23
1685590262.5629559,20
1685590262.6106765,19
1685590262.6658936,38
1685590262.715147,80
1685590262.7636576,95
1685590262.8137448,90
1685590262.8643587,78
1685590262.914067,68
1685590262.9637678,65
1685590263.0139902,63
1685590263.065667,56
1685590263.1138446,45
1685590263.1641533,37
1685590263.213763,30
1685590263.2639182,24
1685590263.3136003,21
1685590263.3640337,18
1685590263.413807,14
1685590263.4656348,19
1685590263.5157597,51
1685590263.5657566,90
1685590263.599818,101
1685590263.648118,96
1685590263.6979346,61
1685590263.7478845,54
1685590263.7981153,51
1685590263.8480365,50
1685590263.8975613,46
1685590263.947622,41
1685590263.9978166,36
1685590264.0474548,32
1685590264.097718,29
1685590264.1475832,28
1685590264.1977243,27
1685590264.2478209,25
1685590264.2976186,25
1685590264.3477964,38
1685590264.3975205,58
1685590264.4477322,67
1685590264.4974656,64
1685590264.5476549,56
1685590264.5976162,49
1685590264.6804833,47
1685590264.7305815,44
1685590264.7807922,40
1685590264.8309746,35
1685590264.8804295,31
1685590264.9305103,28
1685590264.9821527,27
1685590265.0308895,25
1685590265.0804229,24
1685590265.1309502,22
1685590265.18047,23
1685590265.230661,37
1685590265.280836,56
1685590265.330555,62
1685590265.3857236,57
1685590265.4336169,49
1685590265.4834664,44
1685590265.5340042,42
1685590265.5834017,41
1685590265.6665392,35
1685590265.7164226,32
1685590265.7666101,29
1685590265.8168306,27
1685590265.866681,26
1685590265.915886,25
1685590265.9660938,23
1685590266.0166616,24
1685590266.0677452,36
1685590266.1167734,51
1685590266.1660383,55
1685590266.2165537,50
1685590266.2659113,43
1685590266.3166118,40
1685590266.366501,40
1685590266.4178038,39
1685590266.4659958,35
1685590266.5166736,31
1685590266.5659723,28
1685590266.6119242,26
1685590266.6612782,25
1685590266.7115712,24
1685590266.761301,23
1685590266.8113961,22
1685590266.861936,22
1685590266.9112983,31
1685590266.9614794,49
1685590267.011148,61
1685590267.089417,55
1685590267.1395926,48
1685590267.1899292,44
1685590267.2400494,44
1685590267.2898817,42
1685590267.3394568,39
1685590267.3892643,35
1685590267.4397788,31
1685590267.489366,29
1685590267.539991,27
1685590267.5900726,26
1685590267.676219,25
1685590267.725906,23
1685590267.7755802,31
1685590267.8256605,54
1685590267.875293,61
1685590267.9253783,58
1685590267.9752,51
1685590268.025444,45
1685590268.0753677,43
1685590268.1255734,41
1685590268.1756709,39
1685590268.225751,34
1685590268.2757852,30
1685590268.3253677,27
1685590268.375186,25
1685590268.4256115,24
1685590268.4753134,23
1685590268.5259006,22
1685590268.5752988,21
1685590268.6119208,27
1685590268.658523,39
1685590268.7082229,54
1685590268.758188,57
1685590268.8088768,53
1685590268.858562,47
1685590268.9085767,43
1685590268.9584384,42
1685590269.0090468,40
1685590269.058509,37
1685590269.108494,33
1685590269.1590667,29
1685590269.2089581,27
1685590269.2585344,25
1685590269.3083925,24
1685590269.3581867,23
1685590269.4082701,21
1685590269.4582694,26
1685590269.5090444,40
1685590269.5584233,52
1685590269.6110928,51
1685590269.6585255,46
1685590269.7082314,41
1685590269.7584772,40
1685590269.809027,40
1685590269.8585198,39
1685590269.9084415,35
